Offset,K1,K2,K3,K4,K5,K6,K7
35069,0,0,0,1,0,1,0
35125,0,0,0,1,0,0,0
35139,0,0,0,0,0,0,0
35148,0,1,0,0,0,0,0
35151,1,1,0,0,0,0,0
35213,1,1,0,0,0,0,1
35217,1,1,0,0,1,0,1
35224,1,1,1,0,1,0,1
35234,1,0,1,1,1,0,1
35236,0,0,1,1,1,0,1
35284,0,0,1,1,0,0,1
35299,0,0,0,1,0,0,0
35311,0,0,0,0,0,0,0
35320,0,0,0,0,0,1,0
35384,0,0,0,0,1,1,0
35397,1,0,0,0,1,1,0
35402,1,1,0,0,1,1,0
35409,1,1,0,0,1,0,0
35451,1,1,0,0,0,0,0
35461,1,0,0,0,0,0,0
35471,1,0,1,0,0,0,0
35486,0,0,1,0,0,0,0
35543,0,0,0,0,0,0,0
35561,0,0,0,1,1,1,0
35609,0,0,0,1,1,0,0
35622,0,0,0,1,0,0,0
35635,0,0,0,0,0,0,0
35643,0,0,1,0,0,0,0
35725,0,0,1,0,0,1,1
35736,0,1,1,0,0,1,1
35741,1,1,1,0,0,1,1
35756,1,1,0,0,0,1,1
35786,0,1,0,0,0,0,1
35791,0,0,0,0,0,0,1
35795,0,0,0,0,0,0,0
35893,1,0,0,0,1,0,0
35895,1,0,0,1,1,0,0
35954,1,0,0,1,0,0,0
35970,0,0,1,1,0,0,0
35973,0,0,1,0,0,0,0
36051,0,0,1,0,0,0,1
36055,1,0,1,0,0,0,1
36056,1,1,1,0,1,1,1
36064,1,1,1,1,1,1,1
36075,1,1,0,1,1,1,1
36105,1,1,0,1,1,0,1
36117,1,1,0,1,0,0,1
36120,1,1,0,1,0,0,0
36139,1,1,0,0,0,0,0
36146,1,1,1,0,0,0,0
36159,0,1,1,0,0,0,0
36166,0,0,1,0,0,0,0
36216,0,0,1,0,0,1,0
36226,0,0,0,0,0,1,0
36305,0,0,0,0,1,1,0
36316,0,0,0,0,1,0,0
36386,0,1,0,0,1,1,0
36401,0,1,0,0,0,1,0
36463,0,0,0,0,0,0,0
36473,0,0,1,0,0,0,0
36553,0,1,1,0,0,0,0
36556,0,1,1,0,1,0,1
36563,0,1,1,1,1,0,1
36576,0,1,0,1,1,0,1
36625,0,1,0,1,0,0,0
36627,0,0,0,1,0,0,0
36634,0,0,0,0,0,0,0
36736,1,1,0,0,0,0,0
36741,1,1,0,0,1,1,0
36799,1,1,0,0,1,0,0
36801,0,1,0,0,1,0,0
36803,0,0,0,0,1,0,0
36806,0,0,0,0,0,0,0
36811,0,0,1,0,0,0,0
36895,1,0,1,1,0,0,1
36902,1,0,1,1,0,1,1
36904,1,0,0,1,0,1,1
36950,1,0,0,1,0,0,0
36977,1,0,0,0,0,0,0
36982,1,1,0,0,0,0,0
37015,0,1,0,0,0,0,0
37055,0,1,0,0,1,1,1
